1,"[-0.44811269 -0.01634396 -0.67424103 -0.05211778  0.24543492  0.05156127
 -0.23728163 -0.0311481  -0.24598012  0.45045482 -0.31394004  0.32895753
  0.13250129  0.04424757 -0.20703722  0.2163141  -0.1173482   0.13914994
  0.18630555 -0.00254381 -0.15980096 -0.2501332  -0.26518945 -0.11525658
  0.34980071 -0.27649176  0.07596219  0.25824093 -0.23162858 -0.37573197
  0.18952041 -0.21169714  0.11106743  0.43075248 -0.52850009  0.205117
  0.32111516  0.27467144 -0.11370233  0.4982458   0.06260828  0.38590345
  0.25891093 -0.14575782 -0.03899028 -0.27506699 -0.0654545  -0.14609718
  0.05490973  0.37402274 -0.03800503  0.47859472 -0.00926987  0.34795383
 -0.06245347 -0.30558435 -0.1053219  -0.0437923  -0.06769838 -0.23106686
  0.16892147  0.30377877  0.25598456 -0.08877605  0.25910628 -0.48048792
  0.38347141 -0.04761944 -0.17212345 -0.08138643  0.35662032  0.10342447
  0.01247682 -0.04404264  0.16396333  0.14432018  0.03390832 -0.58261662
  0.13099249 -0.22884007  0.53613713 -0.01315299 -0.35925547  0.16321638
 -0.10145643 -0.50085573  0.03800554  0.06969177  0.38382263  0.20184901
 -0.45880259  0.12619378  0.0840276   0.4740499   0.18436951 -0.07528242
  0.32385819 -0.32365904  0.49720747 -0.34452068]"
hwa3060,"[-0.76438311 -0.02251601 -0.79366051  0.01150865  0.03124109  0.15329577
 -0.94165767 -0.15837112  0.01343301  0.65736114 -0.56229707  0.71498885
 -0.54671776  0.08884059 -0.38892628  0.41214811  0.13677712 -0.36699017
  0.80073085  0.12151567  0.0725919   0.00205725 -1.29257087 -0.69024013
  0.37184679 -0.52039426  0.25002174  0.16125791  0.11722249 -0.14692943
  0.1253023   0.24174312 -0.21632646  0.80733404 -0.51693529  0.46789097
  0.7286504  -0.10646536 -0.7239359   0.54848646 -0.16117396  0.63451144
  0.89284384 -0.20270514  0.5349616  -0.50624085 -0.58178966 -0.26833151
 -0.39204294  0.36380343  0.11873317  0.92842339  0.1803487   0.56904618
  0.11432143 -0.58853665 -0.45102697 -0.18029167 -0.50138703 -0.70228547
 -0.00485186  0.98693417  0.12835292  0.2195933   0.73286317 -1.05999108
  0.48952436  0.64994361 -0.05162474 -0.50047063  0.06223901  0.3037979
 -0.07003574 -0.40529702 -0.18722581  0.86217488 -0.1567897  -0.4455291
 -0.19005166 -0.75531403  0.85507175 -0.25646654 -0.02772624 -0.562046
  0.20979926 -0.39015257  0.35847637  0.007092    0.60330088  0.3043877
 -1.15881827  0.33381799  0.50914115  0.65243693  0.18486207  0.09869142
  0.82494473 -0.02098005  0.67396763 -0.59006962]"
,
test,"[-0.73268938  0.21409161 -0.39274753 -0.05294879  0.01114844  0.12251658
 -0.94744657  0.21756963 -0.121164    0.79984557 -0.24550977  0.49132912
 -0.35170378  0.16120178 -0.26569036  0.30917247  0.14550528 -0.25725013
  0.23663736 -0.12062493  0.34216572 -0.13829625 -1.18715863 -0.93708864
  0.52637658 -0.92810339 -0.14272656  0.25820555 -0.24371514 -0.61692775
  0.08725639 -0.07409908 -0.30284781  0.63088031 -0.21253099  0.38321152
  0.92116031 -0.2458081  -0.6373039   0.03767151 -0.1287561   0.4464748
  0.76193024 -0.44017624 -0.02975208 -0.62848024 -0.60602194 -0.38163599
 -0.36674761  0.24308504 -0.1479318   0.59256537 -0.09294228  0.75591732
  0.05379674 -0.33426956 -0.5917631  -0.36683451 -0.53122317 -0.17219021
 -0.05549482  0.99932372  0.03079759 -0.06023279  0.39046946 -1.12322102
  0.80941471  0.24464371  0.08380551 -0.58031829  0.19461064  0.17241394
 -0.07281153 -0.16510038 -0.33667612  0.7850771   0.39887566 -0.79665782
 -0.53795567 -0.93810619  0.73873784 -0.23570479 -0.07380727 -0.61159139
  0.08957216 -0.18857808 -0.06663659 -0.05475538 -0.00163263  0.31913841
 -0.70057336  0.50376947 -0.09205937  0.75447351  0.28355285  0.31829949
  0.46805477 -0.59300563  0.38021647 -0.36437166]"
